MsgID.GLOBAL_POSITION,1522323124.9298041,-122.3957501,37.7932812,0.0740000
MsgID.LOCAL_VELOCITY,1522323124.9298041,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1522323124.9301686,-0.0426662,0.1207200,-0.0740936
MsgID.LOCAL_VELOCITY,1522323124.9301686,0.0000000,0.0000000,-0.0000000
MsgID.STATE,1522323124.9306419,False,False
MsgID.GLOBAL_HOME,1522323124.9314816,-122.3957515,37.7932816,0.0000000
MsgID.GLOBAL_POSITION,1522323124.9316912,-122.3957511,37.7932810,0.0710000
MsgID.LOCAL_VELOCITY,1522323124.9316912,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1522323124.9318736,-0.0707869,0.0329895,-0.0715569
MsgID.LOCAL_VELOCITY,1522323124.9318736,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1522323124.9320219,-122.3957527,37.7932828,0.0860000
MsgID.LOCAL_VELOCITY,1522323124.9320219,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1522323124.9321907,0.1335218,-0.1047013,-0.0861414
MsgID.LOCAL_VELOCITY,1522323124.9321907,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1522323124.9323599,-122.3957501,37.7932828,0.1150000
MsgID.LOCAL_VELOCITY,1522323124.9323599,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1522323124.9325192,0.1320407,0.1205337,-0.1152193
MsgID.LOCAL_VELOCITY,1522323124.9325192,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1522323124.9326682,-122.3957520,37.7932834,0.1470000
MsgID.LOCAL_VELOCITY,1522323124.9326682,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1522323124.9328158,0.1949179,-0.0434513,-0.1477409
MsgID.LOCAL_VELOCITY,1522323124.9328158,0.0000000,0.0000000,-0.0000000
MsgID.STATE,1522323124.9330902,False,False
MsgID.GLOBAL_HOME,1522323124.9335065,-122.3957515,37.7932816,0.0000000
MsgID.GLOBAL_POSITION,1522323124.9337382,-122.3957527,37.7932831,0.1810000
MsgID.LOCAL_VELOCITY,1522323124.9337382,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1522323124.9341116,0.1611833,-0.1063052,-0.1818021
MsgID.LOCAL_VELOCITY,1522323124.9341116,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1522323124.9345143,-122.3957516,37.7932820,0.2110000
MsgID.LOCAL_VELOCITY,1522323124.9345143,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1522323124.9349689,0.0475233,-0.0055362,-0.2110426
MsgID.LOCAL_VELOCITY,1522323124.9349689,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1522323124.9355912,-122.3957523,37.7932813,0.2280000
MsgID.LOCAL_VELOCITY,1522323124.9355912,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1522323124.9362080,-0.0346853,-0.0694145,-0.2286231
MsgID.LOCAL_VELOCITY,1522323124.9362080,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1522323125.1703129,-122.3957514,37.7932830,0.2350000
MsgID.LOCAL_VELOCITY,1522323125.1703129,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1522323125.2100933,0.1636018,0.0410445,-0.2350270
MsgID.LOCAL_VELOCITY,1522323125.2100933,0.0000004,-0.0000052,0.0000048
MsgID.STATE,1522323125.3712080,True,True
MsgID.GLOBAL_HOME,1522323125.3716936,-122.3957519,37.7932815,0.0000000
MsgID.GLOBAL_POSITION,1522323125.4191380,-122.3957500,37.7932831,0.2340000
MsgID.LOCAL_VELOCITY,1522323125.4191380,0.0000000,0.0000000,-0.3300000
MsgID.LOCAL_POSITION,1522323125.4620779,0.1747194,0.1650551,-0.2348987
MsgID.LOCAL_VELOCITY,1522323125.4620779,0.0000249,-0.0000944,-0.3403251
MsgID.GLOBAL_POSITION,1522323125.6708860,-122.3957519,37.7932819,0.5690000
MsgID.LOCAL_VELOCITY,1522323125.6708860,0.0000000,0.0000000,-2.4900000
MsgID.LOCAL_POSITION,1522323125.6714580,0.0451558,0.0008114,-0.5695275
MsgID.LOCAL_VELOCITY,1522323125.6714580,0.0064074,-0.0015089,-2.4913876
MsgID.GLOBAL_POSITION,1522323125.9197447,-122.3957530,37.7932817,1.4650000
MsgID.LOCAL_VELOCITY,1522323125.9197447,0.0200000,0.0100000,-4.2000000
MsgID.LOCAL_POSITION,1522323125.9199603,0.0233473,-0.0993678,-1.4658881
MsgID.LOCAL_VELOCITY,1522323125.9199603,0.0224427,0.0191502,-4.2076468
MsgID.GLOBAL_POSITION,1522323126.1695540,-122.3957510,37.7932818,2.4870000
MsgID.LOCAL_VELOCITY,1522323126.1695540,0.0200000,0.0300000,-4.5800000
MsgID.LOCAL_POSITION,1522323126.1704903,0.0304357,0.0804290,-2.4873216
MsgID.LOCAL_VELOCITY,1522323126.1704903,0.0275375,0.0379512,-4.5826235
MsgID.STATE,1522323126.3706517,True,True
MsgID.GLOBAL_HOME,1522323126.3727274,-122.3957519,37.7932815,0.0000000
MsgID.GLOBAL_POSITION,1522323126.4208233,-122.3957498,37.7932818,3.3710000
MsgID.LOCAL_VELOCITY,1522323126.4208233,0.0200000,0.0300000,-2.4500000
MsgID.LOCAL_POSITION,1522323126.4212816,0.0382096,0.1894558,-3.3722682
MsgID.LOCAL_VELOCITY,1522323126.4212816,0.0259808,0.0368842,-2.4542193
MsgID.GLOBAL_POSITION,1522323126.6695728,-122.3957513,37.7932819,3.6420000
MsgID.LOCAL_VELOCITY,1522323126.6695728,0.0200000,0.0300000,0.1400000
MsgID.LOCAL_POSITION,1522323126.7105451,0.0434419,0.0558318,-3.6423490
MsgID.LOCAL_VELOCITY,1522323126.7105451,0.0243580,0.0345802,0.1500040
MsgID.GLOBAL_POSITION,1522323126.9196267,-122.3957526,37.7932820,3.3640000
MsgID.LOCAL_VELOCITY,1522323126.9196267,0.5800000,0.0300000,1.6300000
MsgID.LOCAL_POSITION,1522323126.9199908,0.0536282,-0.0587932,-3.3646276
MsgID.LOCAL_VELOCITY,1522323126.9199908,0.5828785,0.0307571,1.6380643
MsgID.GLOBAL_POSITION,1522323127.1716475,-122.3957505,37.7932848,2.9440000
MsgID.LOCAL_VELOCITY,1522323127.1716475,1.9700000,0.0300000,1.2900000
MsgID.LOCAL_POSITION,1522323127.1726556,0.3635837,0.1267364,-2.9440186
MsgID.LOCAL_VELOCITY,1522323127.1726556,1.9760404,0.0307019,1.2902087
MsgID.STATE,1522323127.3699262,True,True
MsgID.GLOBAL_HOME,1522323127.3718431,-122.3957519,37.7932815,0.0000000
MsgID.GLOBAL_POSITION,1522323127.4198971,-122.3957510,37.7932915,2.8400000
MsgID.LOCAL_VELOCITY,1522323127.4198971,4.0100000,-0.0100000,-0.4300000
MsgID.LOCAL_POSITION,1522323127.4205997,1.1086539,0.0822089,-2.8405282
MsgID.LOCAL_VELOCITY,1522323127.4205997,4.0225377,-0.0105614,-0.4368636
MsgID.GLOBAL_POSITION,1522323127.6708782,-122.3957512,37.7933025,2.9910000
MsgID.LOCAL_VELOCITY,1522323127.6708782,5.1200000,-0.0300000,-0.5000000
